OriginalOrderInBatch,ExternalSampleID,Mice ID,Birthday,BirthMonth,BirthSeason,CollectionSeason,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,Specimen,Monogamous,ShortSpecies,Altitude,Condition,Sex,Batch,ProjectID,AnimalID,SpeciesAbbreviation,SpeciesLatinNameDetailed,ClusteringBranch,SpeciesColor,ClusteringColor,Age_by_days
96,16014,16014 PO,9/30/2019,9,summer,winter,203877620067_R06C02,0.083,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H12,PO5M,yes,Polion.,NA,NA,M,1,2019-9262,16014,PO,Peromyscus polionotus,1,red,red,30
3,7415,7415 IS,2/5/2019,2,winter,winter,203877620077_R03C01,0.75,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C01,IS9F,yes,Califor.,NA,NA,F,1,2019-9262,7415,IS,Peromyscus californicus insignis,4,turquoise,turquoise,274
4,15789,15789 PO,1/8/2019,1,winter,winter,203877620077_R04C01,0.75,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D01,PO9F,yes,Polion.,NA,NA,F,1,2019-9262,15789,PO,Peromyscus polionotus,1,red,red,274
9,2578,2578 EP,10/1/2017,10,winter,winter,203877620077_R03C02,2,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A02,EP24M,yes,Eremic.,NA,NA,M,1,2019-9262,2578,EP,Peromyscus eremicus,3,blue,blue,730
16,2595,2595 EP,11/21/2017,11,winter,winter,203877620014_R04C01,1.9,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H02,EP23F,yes,Eremic.,NA,NA,F,1,2019-9262,2595,EP,Peromyscus eremicus,3,blue,blue,694
21,2653,2653 EP,2/5/2019,2,winter,winter,203877620014_R03C02,0.75,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E03,EP9M,yes,Eremic.,NA,NA,M,1,2019-9262,2653,EP,Peromyscus eremicus,3,blue,blue,274
27,2554,2554 EP,3/13/2017,3,winter,winter,203877620025_R03C01,2.66,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C04,EP32M,yes,Eremic.,NA,NA,M,1,2019-9262,2554,EP,Peromyscus eremicus,3,blue,blue,971
29,15722,15722 PO,10/12/2018,10,winter,winter,203877620025_R05C01,1,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E04,PO12F,yes,Polion.,NA,NA,F,1,2019-9262,15722,PO,Peromyscus polionotus,1,red,red,365
32,15740,15740 PO,10/30/2018,10,winter,winter,203877620025_R02C02,1,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H04,PO12F,yes,Polion.,NA,NA,F,1,2019-9262,15740,PO,Peromyscus polionotus,1,red,red,365
38,15802,15802 PO,1/16/2019,1,winter,winter,203877620084_R02C01,0.75,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F05,PO9M,yes,Polion.,NA,NA,M,1,2019-9262,15802,PO,Peromyscus polionotus,1,red,red,274
56,15475,15475 PO,11/7/2017,11,winter,winter,203877620057_R02C02,1.91,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,H07,PO23F,yes,Polion.,NA,NA,F,1,2019-9262,15475,PO,Peromyscus polionotus,1,red,red,697
58,15479,15479 PO,11/7/2017,11,winter,winter,203877620057_R04C02,1.91,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B08,PO23F,yes,Polion.,NA,NA,F,1,2019-9262,15479,PO,Peromyscus polionotus,1,red,red,697
59,7408,7408 IS,1/18/2019,1,winter,winter,203877620057_R05C02,0.75,100,yes,Peromyscus californicus,California mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C08,IS9F,yes,Califor.,NA,NA,F,1,2019-9262,7408,IS,Peromyscus californicus insignis,4,turquoise,turquoise,274
68,15487,15487 PO,11/20/2017,11,winter,winter,203877620078_R02C02,1.91,100,yes,Peromyscus polionotus,Oldfield mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D09,PO23M,yes,Polion.,NA,NA,M,1,2019-9262,15487,PO,Peromyscus polionotus,1,red,red,697
81,6886,6886 IS,1/15/2017,1,winter,winter,203877620089_R03C02,2.75,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A11,IS33M,yes,Califor.,NA,NA,M,1,2019-9262,6886,IS,Peromyscus californicus insignis,4,turquoise,turquoise,1004
87,7397,7397 IS,1/14/2019,1,winter,winter,203877620067_R03C01,0.75,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G11,IS9M,yes,Califor.,NA,NA,M,1,2019-9262,7397,IS,Peromyscus californicus insignis,4,turquoise,turquoise,274
91,2657,2657 EP,3/25/2019,3,winter,winter,203877620067_R01C02,0.66,100,yes,Peromyscus eremicus,Cactus mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C12,EP8M,yes,Eremic.,NA,NA,M,1,2019-9262,2657,EP,Peromyscus eremicus,3,blue,blue,241
